DATE      	CROP                	PLANT_DATE	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	IRRIGATION     	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 	N FIXATION     	N ADDED        
YYYY-MM-DD	-                   	YYYY-MM-DD	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              	kg/ha          	kg/ha          
1999-09-02	SoybeanMG.4         	1999-04-30	12.560379      	1.677846       	4.089824       	0.000000       	6.792708       	0.375815       	331.453492     	305.841196     	91.957990      	0.000000       	0.325909       	0.016742       	0.183896       	0.000000       	0.000000       	183.895953     	142.013361     	0.000000       	267.641177     	0.000000       
2000-09-11	CornRM.90           	2000-04-19	29.843130      	3.656723       	13.618008      	0.000000       	12.568399      	0.520041       	359.398251     	353.876412     	132.982517     	0.000000       	0.306136       	0.033142       	0.196764       	0.000000       	0.000000       	196.763705     	109.372573     	0.000000       	0.000000       	0.000000       
2001-09-01	SoybeanMG.4         	2001-04-30	11.820967      	1.581987       	3.840378       	0.000000       	6.398602       	0.375074       	325.263026     	292.000342     	76.267500      	0.000000       	0.314950       	0.015790       	0.177692       	0.000000       	0.000000       	177.692294     	137.257360     	0.000000       	260.694528     	0.000000       
2002-09-09	CornRM.90           	2002-04-20	22.337367      	3.293430       	8.985379       	0.000000       	10.058558      	0.471824       	393.932333     	300.863189     	187.165481     	0.000000       	0.285440       	0.032431       	0.173583       	0.000000       	0.000000       	173.583309     	111.856276     	0.000000       	0.000000       	0.000000       
2003-09-04	SoybeanMG.4         	2003-04-30	13.574277      	1.704241       	4.472728       	0.000000       	7.397308       	0.376808       	296.102554     	298.421970     	113.413891     	0.000000       	0.348623       	0.017003       	0.197621       	0.000000       	0.000000       	197.621434     	151.001074     	0.000000       	268.083842     	0.000000       
2004-09-03	CornRM.90           	2004-04-19	31.689931      	3.861850       	14.412075      	0.000000       	13.416005      	0.517897       	346.977381     	347.800222     	158.489749     	0.000000       	0.305994       	0.034007       	0.195653       	0.000000       	0.000000       	195.653417     	110.340799     	0.000000       	0.000000       	0.000000       
2005-09-02	SoybeanMG.4         	2005-04-30	11.947803      	1.601345       	3.875888       	0.000000       	6.470571       	0.374610       	306.464833     	280.247434     	85.541250      	0.000000       	0.321093       	0.015966       	0.181076       	0.000000       	0.000000       	181.076257     	140.016522     	0.000000       	252.453463     	0.000000       
2006-09-13	CornRM.90           	2006-04-20	27.930084      	3.556877       	12.489098      	0.000000       	11.884108      	0.512411       	372.184713     	360.497796     	144.372938     	0.000000       	0.300681       	0.033132       	0.191480       	0.000000       	0.000000       	191.479972     	109.200900     	0.000000       	0.000000       	0.000000       
2007-09-01	SoybeanMG.4         	2007-04-30	13.462925      	1.742817       	4.406048       	0.000000       	7.314060       	0.375939       	338.798910     	329.257098     	102.079388     	0.000000       	0.342681       	0.017389       	0.193532       	0.000000       	0.000000       	193.531869     	149.148784     	0.000000       	264.589923     	0.000000       
2008-09-11	CornRM.90           	2008-04-19	27.430573      	3.632541       	12.014735      	0.000000       	11.783297      	0.504863       	384.098978     	335.888569     	170.457675     	0.000000       	0.293603       	0.033759       	0.184623       	0.000000       	0.000000       	184.623140     	108.980078     	0.000000       	0.000000       	0.000000       
2009-09-03	SoybeanMG.4         	2009-04-30	13.257461      	1.667995       	4.368555       	0.000000       	7.220911       	0.376942       	302.342553     	302.406106     	100.979613     	0.000000       	0.343565       	0.016636       	0.194876       	0.000000       	0.000000       	194.875706     	148.689680     	0.000000       	262.894313     	0.000000       
2010-09-03	CornRM.90           	2010-04-20	24.010055      	3.237059       	10.469420      	0.000000       	10.303576      	0.503992       	390.201024     	326.758040     	164.640636     	0.000000       	0.296474       	0.031408       	0.188173       	0.000000       	0.000000       	188.172571     	108.301658     	0.000000       	0.000000       	0.000000       
2011-08-27	SoybeanMG.4         	2011-04-30	12.294536      	1.605460       	4.004135       	0.000000       	6.684941       	0.374601       	325.011843     	284.542363     	112.072338     	0.000000       	0.318838       	0.016000       	0.179714       	0.000000       	0.000000       	179.714470     	139.123055     	0.000000       	252.951275     	0.000000       
2012-09-02	CornRM.90           	2012-04-19	26.900862      	3.577749       	11.967249      	0.000000       	11.355865      	0.513107       	393.234170     	347.670206     	182.786905     	0.000000       	0.300039       	0.034513       	0.190156       	0.000000       	0.000000       	190.156323     	109.882214     	0.000000       	0.000000       	0.000000       
2013-08-30	SoybeanMG.4         	2013-04-30	13.187546      	1.637308       	4.355137       	0.000000       	7.195101       	0.377060       	317.946914     	312.490549     	97.656139      	0.000000       	0.341773       	0.016333       	0.194032       	0.000000       	0.000000       	194.031652     	147.741342     	0.000000       	253.770526     	0.000000       
2014-09-09	CornRM.90           	2014-04-20	29.924434      	3.569912       	13.965326      	0.000000       	12.389196      	0.529902       	395.479646     	396.605990     	165.981835     	0.000000       	0.299071       	0.031897       	0.194267       	0.000000       	0.000000       	194.267217     	104.804188     	0.000000       	0.000000       	0.000000       
2015-08-23	SoybeanMG.4         	2015-04-30	13.337955      	1.604547       	4.436741       	0.000000       	7.296667       	0.378129       	321.439860     	314.838623     	76.775037      	0.000000       	0.345324       	0.016012       	0.196735       	0.000000       	0.000000       	196.734906     	148.588931     	0.000000       	276.691922     	0.000000       
2016-09-04	CornRM.90           	2016-04-19	20.311200      	3.037819       	8.152682       	0.000000       	9.120698       	0.471980       	413.603746     	289.079202     	161.035189     	0.000000       	0.280941       	0.030302       	0.171988       	0.000000       	0.000000       	171.987631     	108.953098     	0.000000       	0.000000       	0.000000       
